表層形, 品詞
で,助詞
、,記号
平気,名詞
で,助詞
おしっこ,名詞
を,助詞
し,動詞
て,助詞
い,動詞
た,助動詞
という,助詞
事,名詞
を,助詞
知り,動詞
、,記号
その,連体詞
無心,名詞
さ,名詞
が,助詞
、,記号
本当に,副詞
可愛らしく,形容詞
、,記号
私,名詞
の,助詞
お母さま,名詞
など,助詞
も,助詞
、,記号
その,連体詞
よう,名詞
な,助動詞
ほん,名詞
もの,名詞
の,助詞
貴婦人,名詞
の,助詞
最後,名詞
の,助詞
ひとり,名詞
な,助動詞
の,名詞
で,助動詞
は,助詞
なかろ,助動詞
う,助動詞
か,助詞
と,助詞
考え,動詞
た,助動詞
。,記号
さて,接続詞
、,記号
けさ,名詞
は,助詞
、,記号
スウプ,名詞
を,助詞
一,名詞
さじ,名詞
お,接頭詞
吸い,動詞
に,助詞
なっ,動詞
て,助詞
、,記号
あ,感動詞
、,記号
と,助詞
小さい,形容詞
声,名詞
を,助詞
お,接頭詞
挙げ,動詞
に,助詞
なっ,動詞
た,助動詞
ので,助詞
、,記号
髪の毛,名詞
？,記号
　,記号
と,助詞
お,接頭詞
たずね,動詞
する,動詞
と,助詞
、,記号
いいえ,感動詞
、,記号
と,助詞
お答え,名詞
に,助詞
なる,動詞
。,記号
「,記号
塩辛かっ,形容詞
た,助動詞
かしら,助詞
」,記号
けさ,名詞
の,助詞
スウプ,名詞
は,助詞
、,記号
こないだ,名詞
アメリカ,名詞
から,助詞
配給,名詞
に,助詞
なっ,動詞
た,助動詞
罐,名詞
詰,名詞
の,助詞
グリンピイス,名詞
を,助詞
裏ごし,名詞
し,動詞
て,助詞
、,記号
私,名詞
が,助詞
ポタージュ,名詞
みたい,名詞
に,助詞
作っ,動詞
た,助動詞
もの,名詞
で,助動詞
、,記号
もともと,副詞
お,接頭詞
料理,名詞
に,助詞
は,助詞
自信,名詞
が,助詞
無い,形容詞
ので,助詞
、,記号
お母さま,名詞
に,助詞
、,記号
いいえ,感動詞
、,記号
と,助詞
言わ,動詞
れ,動詞
て,助詞
も,助詞
、,記号
なおも,副詞
、,記号
はらはら,副詞
し,動詞
て,助詞
そう,副詞
たずね,動詞
た,助動詞
。,記号
「,記号
お上手,名詞
に,助詞
出来,動詞
まし,助動詞
た,助動詞
」,記号
お母さま,名詞
は,助詞
、,記号
まじめ,名詞
に,助詞
そう,副詞
言い,動詞
、,記号
スウプ,名詞
を,助詞
すまし,動詞
て,助詞
、,記号
それから,接続詞
お,接頭詞
海苔,名詞
で,助詞
包ん,動詞
だ,助動詞
おむすび,名詞
を,助詞
手,名詞
で,助詞
つまん,動詞
で,助詞
お,接頭詞
あがり,動詞
に,助詞
なっ,動詞
た,助動詞
。,記号
私,名詞
は,助詞
小さい,形容詞
時,名詞
から,助詞
、,記号
朝,名詞
ごはん,名詞
が,助詞
おいしく,形容詞
なく,助動詞
、,記号
十,名詞
時,名詞
頃,名詞
に,助詞
なら,動詞
なけれ,助動詞
ば,助詞
、,記号
おなか,名詞
が,助詞
すか,動詞
ない,助動詞
ので,助詞
、,記号
その,連体詞
時,名詞
も,助詞
、,記号
スウプ,名詞
だけ,助詞
は,助詞
どうやら,副詞
すまし,動詞
た,助動詞
けれども,助詞
、,記号
食べる,動詞
の,名詞
が,助詞
たい,名詞
ぎで,名詞
、,記号
おむすび,名詞
を,助詞
お,接頭詞
皿,名詞
に,助詞
載せ,動詞
て,助詞
、,記号
それに,接続詞
お,接頭詞
箸,名詞
を,助詞
突込み,名詞
、,記号
ぐしゃぐしゃ,副詞
に,助詞
こわし,動詞
て,助詞
、,記号
それから,接続詞
、,記号
その,連体詞
一,名詞
かけ,名詞
ら,名詞
を,助詞
お,接頭詞
箸,名詞
で,助詞
つまみ上げ,動詞
、,記号
お母さま,名詞
が,助詞
スウプ,名詞
を,助詞
召し,動詞
上る,動詞
時,名詞
の,助詞
スプウン,名詞
みたい,名詞
